Retrieving list of stopwords...
Reading Input JSON...
Done loading json!
Merging Results...
Done merging results...
Final Results: 
carlos 18
hours 18
arab 18
assessment 18
emotional 18
p.m. 18
wallet 18
claim 18
bradley 18
correct 18
span 18
george 18
sayed 18
cancer 18
googles 18
liberals 18
stocks 18
usmanov 18
door 18
writer 18
remove 18
tristan 18
liked 18
psychographic 18
realms 18
edge 18
examples 18
info 18
ukraine 18
volunteers 18
broker-dealer 18
font-family 18
conversation 18
owned 18
deceptive 18
incident 18
databases 18
bug 18
jio 18
volunteer 18
student 18
scottish 18
hurricane 18
blue 17
movement 17
beach 17
meetings 17
detection 17
weak 17
cow 17
experts 17
split 17
victim 17
royal 17
newspapers 17
ensure 17
profits 17
switches 17
billionaire 17
french 17
myers 17
encryption 17
shows 17
variables 17
meme 17
mining 17
venture 17
trafficking 17
analytic 17
psw 17
kennedy 17
curran 17
mook 17
describe 17
requested 17
iraq 17
accept 17
plane 17
nigeria 17
marketplace 17
juice 17
trip 17
bff 17
perfume 17
league 17
budget 17
traits 17
wealth 17
cambridges 17
michael 17
afrihost 17
predict 17
practice 17
________________________________________________________________________________________________________________________________________ 17
msonormal 17
portfolio 17
campuses 17
associated 17
inc. 17
growth 17
paris 16
sellers 16
grisolano 16
army 16
room 16
root 16
hearing 16
tor 16
girls 16
murder 16
spectrum 16
met 16
leaves 16
programs 16
psychometrics 16
artists 16
runtime 16
happen 16
____________ 16
thune 16
graph 16
kavanaugh 16
scam 16
armies 16
gonzales 16
ripon 16
orwell 16
behind 16
ms. 16
infrastructure 16
reuters/carlos 16
cceres 16
wants 16
datasift 16
zacks 16
roughly 16
football 16
rort 16
fees 16
dossier 16
jst 16
chicago 16
cryptocurrencies 16
whistleblowers 16
describes 16
competitive 16
interfaces 16
integer 16
cadwalladr 16
podesta 16
servers 16
uber 16
warning 16
stay-behind 16
martnez 16
uploaded 16
opinion 16
comedy 16
parakilas 16
pervasive 16
controls 16
edinburgh 16
cruzs 16
kinds 16
grammar 16
gets 16
hands 16
hosts 16
amendment 16
previously 16
delivery 16
completely 15
playboy 15
weeks 15
represents 15
nation 15
tom 15
thriller 15
sheryl 15
requests 15
campaigning 15
speakers 15
rosenstein 15
identify 15
son 15
counsel 15
update 15
devos 15
muslims 15
apology 15
standards 15
along 15
cas 15
heard 15
mac 15
increase 15
happened 15
1956 15
gchq 15
lyft 15
primaries 15
multiple 15
investigations 15
fda 15
unethical 15
serialization 15
duty 15
everyday 15
thinking 15
road 15
reporters 15
los 15
sale 15
baillie 15
red 15
shareholders 15
earnings 15
ethics 15
included 15
dopamine 15
mystery 15
gifford 15
beyond 15
alfa 15
storm 15
hundred 15
chart 15
cuomo 15
sensitive 15
raise 15
romneys 15
deletion 15
